SERIAL;chimeGesamtT1;chimeGesamtT2
AA223798;2,875;2,99375
AE814737;3,939583333;4,2625
AH561571;3,347916667;3,602083333
AK891341;3,116666667;3,658333333
AN458214;4,245833333;3,683333333
AN652227;3,55625;3,8
AP844344;3,464583333;3,908333333
AT424766;3,766666667;3,791666667
AT973973;3,614583333;3,639583333
AW495873;3,658333333;3,766666667
AY454349;3,997916667;4,15
AZ588774;3,475;3,372916667
BA355797;3,4125;3,241666667
BC191415;3,5375;3,539583333
BF819292;4,889583333;4,86875
BG864843;4,116666667;3,70625
BS791494;3,702083333;3,454166667
BV722553;3,29375;3,379166667
BX289155;4,066666667;3,720833333
CF824211;4,020833333;4,21875
CU525786;4,679166667;4,547916667
CV988215;3,658333333;3,560416667
CZ836922;3,202083333;3,552083333
DA181897;3,66875;3,4875
DC443849;3,0125;3,208333333
DM159531;3,708333333;4,041666667
DT637117;3,116666667;2,914583333
DU868473;3,95;4,333333333
EC159212;4,922916667;4,727083333
EE558756;4,241666667;4,414583333
EK319924;3,91875;3,372916667
EL742586;3,539583333;4,18125
EP831244;3,760416667;5,03125
ET745775;3,829166667;3,829166667
FE929218;3,020833333;3,091666667
FF171956;3,629166667;3,73125
FH839757;3,672916667;3,73125
FK136917;3,420833333;3,529166667
FL248294;3,945833333;3,654166667
FL283383;3,833333333;3,8
FL569837;4,004166667;4,464583333
FX545495;4,397916667;5,058333333
FY246884;4,75625;4,583333333
GA326557;4,060416667;3,6875
GD335178;3,547916667;3,420833333
GF886775;3,516666667;3,991666667
GK718459;3,460416667;3,885416667
GK826951;4,045833333;3,5875
GR441237;3,972916667;3,466666667
GZ249864;3,797916667;4,245833333
HA634253;3,35;3,3
HD353817;3,84375;3,595833333
HQ159989;3,360416667;3,827083333
HS785464;3,325;3,139583333
KV214531;3,7875;3,5
KZ379721;3,68125;3,945833333
KZ623294;3,591666667;3,70625
LB318186;3,5375;3,2875
LC333483;4,583333333;4,85625
LF961829;4,589583333;4,147916667
LH578194;3,608333333;3,579166667
LP893358;3,566666667;3,722916667
LQ366462;3,414583333;3,483333333
LW441239;4,29375;3,804166667
MB259846;2,891666667;4,335416667
MD787544;3,814583333;3,91875
ME363698;3,747916667;3,475
ME637726;3,597916667;2,885416667
ME862665;4,364583333;3,872916667
MG848757;4,697916667;4,45625
NB497633;3,316666667;3,702083333
NK144173;3,08125;3,49375
NK367231;1,6125;1,835416667
NM384333;3,820833333;3,7875
NV617537;3,283333333;3,375
NV651396;3,010416667;3,2
PA298545;3,43125;3,179166667
PH647245;4,060416667;4,002083333
PK111235;3,214583333;3,564583333
PK497634;4,091666667;4,216666667
PN821564;3,63125;3,608333333
PQ466859;3,25;3,858333333
PW785611;3,685416667;4,195833333
PY333941;4,066666667;4,645833333
PY378998;4,15625;4,197916667
PY946565;3,6125;3,65
PZ846199;3,54375;3,995833333
QR394599;3,8;4,0125
QT273771;4,229166667;4,39375
RA581334;3,660416667;3,629166667
RH615392;3,4875;4,26875
RQ233693;4,189583333;4,122916667
RT652696;3,985416667;4,229166667
RV452633;3,720833333;3,975
RW164757;4,014583333;3,852083333
SE522452;4,141666667;3,85
SE762113;4,29375;4,420833333
SM631877;4,454166667;4,39375
SN429438;4,110416667;3,977083333
SP553518;3,960416667;3,970833333
SR175276;3,98125;4,479166667
SS198481;4,233333333;4,23125
SW218242;4,302083333;4,091666667
TB885956;4,004166667;3,85
TC332594;3,38125;3,6375
TC633551;4,058333333;3,595833333
TG784124;3,025;2,9375
TP544386;4,175;4,027083333
UB531682;4,23125;
UL113513;3,602083333;3,56875
UR157297;3,445833333;3,758333333
UX896743;3,497916667;4,0625
UY881832;4,495833333;4,510416667
VB488197;4,60625;4,44375
VC376826;3,629166667;3,8625
VK722412;4,029166667;3,504166667
VN755488;3,495833333;3,83125
VR815563;4,116666667;3,783333333
VU521743;4,577083333;4,529166667
VX588246;4,277083333;4,183333333
VY624531;3,591666667;3,55625
VZ398246;4,272916667;4,522916667
WC754144;4,2375;3,8625
WG879246;3,408333333;3,647916667
WN633269;3,366666667;3,820833333
WR312764;4,077083333;4,383333333
XA855886;4,085416667;4,35625
XB482288;3,383333333;3,229166667
XG496891;3,547916667;3,327083333
XK242279;4,689583333;4,572916667
XK292543;4,325;4,435416667
XN198271;3,666666667;3,516666667
XP544262;3,972916667;4,56875
XS659581;3,022916667;3,804166667
XV615413;4,097916667;3,9
XV917984;3,583333333;3,6375
XY216464;2,825;2,916666667
XY662821;4,495833333;3,9
XZ767591;3,883333333;4,083333333
YA272536;4,179166667;3,952083333
YC186467;3,84375;3,822916667
YC888437;4,702083333;4,745833333
YE632525;3,335416667;3,064583333
YF233344;3,983333333;3,266666667
YL695788;4,689583333;4,720833333
YM644361;2,8875;2,739583333
YN129325;4,147916667;4,1875
YR389785;3,177083333;3,96875
YW953985;4,1;4,427083333
ZT573312;4,179166667;4,227083333
